Price,Close,High,Low,Open,Volume
Ticker,TSM,TSM,TSM,TSM,TSM
Date,,,,,
2024-01-02,100.1127700805664,101.18755898902423,99.18588886887407,100.8227210067224,9020900
2024-01-03,98.77175903320312,99.83668548385991,98.26888336725274,98.93938425518658,6650600
2024-01-04,97.74626922607422,99.03798841643506,97.73641422977607,98.14068724204013,7996700
2024-01-05,98.21957397460938,99.23519530456642,97.42088293316705,97.61808818296332,7344900
2024-01-08,100.81285095214844,101.35517662545263,99.09714135744572,99.22532400618245,12455600
2024-01-09,100.46774291992188,100.54662802585644,98.81119330978478,99.63947187630221,7764000
2024-01-10,99.39295959472656,101.3453170291204,98.58440608214876,101.0889442013574,6975700
2024-01-11,99.80709838867188,100.73397958827253,98.59426431849447,100.2803939846695,7862700
2024-01-12,99.82682800292969,100.95091458328515,99.46199750406795,99.48171502175016,6514000
2024-01-16,100.25080871582031,100.92131704422214,98.80132692332683,99.12672233039628,11185500
2024-01-17,101.51294708251953,101.88764758473944,98.60412830663304,99.46198693114403,17649500
2024-01-18,111.4522476196289,111.80722309164022,107.95180549687582,109.64779022405439,58783700
2024-01-19,112.60591125488281,113.54265498535398,109.47029968111529,111.63959501255015,37737300
2024-01-22,111.4522476196289,113.49335282224493,110.94936444712985,113.17781990522354,17755500
2024-01-23,112.53688049316406,113.02004610213851,111.5804268395129,111.9353947537448,11667900
2024-01-24,114.89352416992188,117.19100210851374,113.01018927744498,113.72014018747318,21859200
2024-01-25,114.93296813964844,117.18114103384943,114.85409055537136,116.37258749255086,15485300
2024-01-26,115.62319946289062,116.39231043676455,114.6766007625152,115.26822400988763,10196400
2024-01-29,115.34710693359375,116.22468303055602,114.14413542371803,115.5344496525974,10042200
2024-01-30,114.43994903564453,116.3627340535518,113.94692839355004,114.73576443006041,11030800
2024-01-31,111.38322448730469,113.13837679987941,111.30433937770853,111.91568769273152,12853900
2024-02-01,111.80721282958984,112.43827860571122,111.03810188512301,112.21149333895687,8807600
2024-02-02,114.13427734375,114.34134510832136,112.32982000875936,113.25670121265796,10042200
2024-02-05,117.1318359375,117.87136684309866,114.95268577175032,115.49500392211756,13267600
2024-02-06,117.71360778808594,119.30113488429784,116.62896386172267,118.44328376720689,11503800
2024-02-07,123.23543548583984,123.25515300024497,118.32494688023517,118.3348093988865,18172500
2024-02-08,131.86329650878906,132.8690628298602,124.34966675005946,125.22724288973839,33367000
2024-02-09,131.25196838378906,133.28321121446638,128.76713989923164,132.62256529692164,16984200
2024-02-12,128.6389617919922,131.64637588807045,128.44174148435678,131.40973559218324,14203800
2024-02-13,125.76956176757812,128.10647466564382,124.71449795346848,126.14425472635342,14494000
2024-02-14,127.4655532836914,128.9643251117209,126.17383416423127,127.82052872628682,13069700
2024-02-15,127.22891235351562,129.29960517699652,126.55841146715983,128.9742097306897,12554000
2024-02-16,124.92157745361328,126.84435502177071,124.0538562758616,125.35543051959085,13091700
2024-02-20,123.58055114746094,125.28639828995301,122.41702217644594,125.11877308365452,12038800
2024-02-21,123.59040832519531,123.62985087847319,121.19433527747135,122.69311468754155,11578100
2024-02-22,127.26834869384766,129.64469662177055,127.19931858581168,127.87968944138859,17014100
2024-02-23,127.72191619873047,129.1812529706647,125.94704654181878,128.67837737213327,10123300
2024-02-26,128.81643676757812,129.39819753233678,126.76546902723585,128.2050959670383,9526700
2024-02-27,126.79503631591797,130.12786043963953,126.79503631591797,128.9446139899581,8851800
2024-02-28,125.6019287109375,126.78518269635931,124.88212282848613,126.70629759275168,6519100
2024-02-29,126.8739242553711,127.38666991182204,125.37514488407108,126.24285846504502,9369900
2024-03-01,132.0309295654297,134.74254325366948,128.28398450559035,128.31356454216194,24361700
2024-03-04,136.33004760742188,140.0079920276871,135.7581419197201,137.98660460728124,26544600
2024-03-05,133.0859832763672,135.5116362265749,131.8632867598577,135.2059658588962,13694700
2024-03-06,139.59385681152344,141.98992965242687,136.67516830407405,136.86251853524809,22292700
2024-03-07,147.1173553466797,149.4838634361814,142.13784389451124,142.8773748513938,34675700
2024-03-08,144.3268585205078,156.18893401235553,142.90695665835614,151.75174821602957,43771100
2024-03-11,137.0794677734375,142.38435981503443,136.99071262031504,141.61524879328252,29227100
2024-03-12,142.38433837890625,144.65223607029233,138.60781395271366,142.50267354998857,21218500
2024-03-13,140.15591430664062,141.23069574736064,139.39665826829676,141.05321552961092,12923100
2024-03-14,137.6710662841797,141.10250046211624,137.07945059700737,140.61933486200016,14961900
2024-03-15,135.06793212890625,135.7778830636697,132.75074411737776,133.5494351575376,22733000
2024-03-18,135.27980041503906,140.13101674490048,135.25010026212553,138.78455442087744,14732900
2024-03-19,133.5274200439453,134.9134926865604,131.70574010931372,133.95314742720583,17341100
2024-03-20,135.3887176513672,135.94314069594418,133.6660330998073,135.17090644001266,12750200
2024-03-21,138.06182861328125,141.18048070107614,137.6559063718489,141.13097540948056,17809400
